variant,seed,image,rate_bpp,extraction_ok,mse,psnr,ssim,correlation,payload_bits,n_changes,change_rate,embedding_efficiency,bits_per_pixel,bits_per_unit_distortion,fused_measure_1,fused_measure_2,chi_square_p,rs_rate,ws_rate,payload_bias,payload_autocorr,payload_entropy
full,0,0,0.1,True,0.049076080322265625,61.22210492273206,0.9986230064721158,0.9999799741801487,26214,12865,0.049076080322265625,2.0376214535561603,0.09999847412109375,534150.2383210261,0.9986030082276888,20.34805961825412,0.0,0.08727313928706455,0.09950332815499667,,,
no_T1T2,0,0,0.1,True,0.048900604248046875,61.23766135282713,0.9980349581854501,0.9999800195395014,26214,12819,0.048900604248046875,2.0449333021296514,0.09999847412109375,536066.9955534753,0.9980150169873918,20.40905286006263,0.0,0.09497319527974793,0.12053099717531335,,,
no_T3,0,0,0.1,True,0.048892974853515625,61.23833898503619,0.9982101240794506,0.9999800437666242,26214,12817,0.048892974853515625,2.045252399157369,0.09999847412109375,536150.6449247093,0.9981902035652565,20.41582060727242,0.0,0.0954792408624606,0.11227499387452773,,,
no_T4,0,0,0.1,True,0.049060821533203125,61.22345544589277,0.99848274539805,0.9999799549852942,26214,12861,0.049060821533203125,2.0382551901096337,0.09999847412109375,534316.3685560998,0.9984627307967351,20.351528971462507,0.0,0.09371532548807716,0.10658284203842901,,,
no_decomp,0,0,0.1,True,0.048870086669921875,61.240372516282505,0.9980826355784329,0.9999800494160933,26214,12811,0.048870086669921875,2.046210288033721,0.09999847412109375,536401.7497463118,0.998062723247066,20.422773750907727,0.0,0.09231932352324751,0.10895442081058647,,,
fixed_path,0,0,0.1,True,0.04930877685546875,61.201561312329176,0.9982600637615255,0.9999798664670514,26214,12926,0.04930877685546875,2.028005570168652,0.09999847412109375,531629.4921862911,0.9982399652596405,20.244671008279685,0.0,0.09804306487585518,0.11693380633879909,,,
fixed_plane,0,0,0.1,True,0.04891204833984375,61.23664510271859,0.9985850754242848,0.9999800232476656,26214,12822,0.04891204833984375,2.044454843238184,0.09999847412109375,535941.5704258305,0.9985651269375482,20.415524616745955,0.0,0.08529944465886742,0.10169781315399268,,,
single_seg,0,0,0.1,True,0.049030303955078125,61.22615775278187,0.9968841564700253,0.9999803200932458,26214,12853,0.049030303955078125,2.0395238465727847,0.09999847412109375,534648.9392359761,0.9968645378827812,20.331600203745722,0.0,0.10894941928759895,0.13425668640723054,,,
no_ga,0,0,0.1,True,0.10356521606445312,57.97866445302815,0.99750911451627,0.9999577201205342,26214,12511,0.047725677490234375,2.095276156981856,0.09999847412109375,253115.87226048842,0.9974669399511422,9.631292994458441,0.0,0.0627603663656198,0.06568870825136033,,,
unconstrained,0,0,0.1,True,0.048980712890625,61.230552590867376,0.9981626087054631,0.9999800533882147,26214,12840,0.048980712890625,2.041588785046729,0.09999847412109375,535190.2504672897,0.9981426987434087,20.378280344189417,0.0,0.09722003584066842,0.11497983488661552,,,
full,0,1,0.1,True,0.049053192138671875,61.22413086499507,0.999771921885841,0.9999889165894041,26214,12859,0.049053192138671875,2.0385722062368767,0.09999847412109375,534399.4724317598,0.9997608410031285,20.381157625314884,1.5630904569323723e-05,0.05120244557914552,0.10151259617611254,,,
