stage,n,wall_mean_s,wall_std_s,wall_median_s,wall_total_s,cpu_mean_s,hardware,threads,thread_mode,timing_valid,timing_invalid_reason,complexity_time,complexity_space
embed:AMDT,580,10.502139722311002,2.9281260464688765,10.209425166482106,6091.241038940381,10.426619924137922,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
embed:GA-FT,580,2.6417393341359428,1.092905305436122,2.208160687063355,1532.2088137988467,2.6260031310344933,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
ablation:AMDT-no_ga,145,9.822695338233888,1.1059455947106467,9.703840750036761,1424.2908240439137,9.80778593103442,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
ablation:AMDT-no_T1T2,145,8.190636761488136,1.6607599476830528,8.24348874995485,1187.6423304157797,8.19127867586206,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
ablation:AMDT-full,145,7.767530920444827,1.7049493330514263,7.955553459003568,1126.2919834645,7.75901889655175,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
ablation:AMDT-no_T4,145,7.420761404929137,1.6845436444176958,7.583110374980606,1076.0104037147248,7.409089248275682,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
ablation:AMDT-no_T3,145,7.141466856024485,1.4539101879791714,7.274688125005923,1035.5126941235503,7.127992751724039,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
ablation:AMDT-unconstrained,145,7.129481871243052,1.5448179341903345,7.196246125036851,1033.7748713302426,7.123299910344915,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
ablation:AMDT-no_decomp,145,6.828360246297711,1.348266430040609,6.79205629194621,990.112235713168,6.814205158620675,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
ablation:AMDT-fixed_plane,145,6.361415710718499,1.918890934851966,6.058226082939655,922.4052780541824,6.344888848275965,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
ablation:AMDT-fixed_path,145,6.166161904056107,1.5567126607156276,5.929312583990395,894.0934760881355,6.159217006896669,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
ablation:AMDT-single_seg,145,1.749738698613284,0.5436401175316242,1.6132558329263702,253.71211129892617,1.7455465034483244,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
embed:S-UNIWARD,580,0.26098888536236764,0.09442357674706245,0.252625145483762,151.37355351017322,0.25682812413793005,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
embed:WOW,580,0.25604763410218734,0.05308412814334756,0.25084599998081103,148.50762777926866,0.25407320000001776,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
embed:HILL,580,0.1332203045826614,0.04081020784422252,0.1299311459879391,77.26777665794361,0.13179037586203338,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
embed:MiPOD-lite,580,0.11780856265606166,0.029995962769610536,0.11529366706963629,68.32896634051576,0.11643703793104405,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
embed:PVD,580,0.03776353622188567,0.027706070531695385,0.033814728958532214,21.902851008693688,0.03759332758622193,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
embed:EA-LSB,580,0.02697721910000586,0.005584143433132398,0.026758500491268933,15.646787078003399,0.026864839655171512,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
embed:LSB-M,580,0.004169950193870042,0.001082805371317195,0.0040918749873526394,2.4185711124446243,0.004148999999990727,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
embed:LSB,580,0.0006594703065086927,0.0004923640513737963,0.0005757709732279181,0.38249277777504176,0.0006584603448193016,"CPU: Apple M1 Pro (1t, pinned)",1,pinned,True,,,
