metric,method_a,method_b,n_pairs,mean_a,std_a,mean_b,std_b,mean_diff,diff_ci_low,diff_ci_high,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,shapiro_p_value,normality_ok,cohens_dz,cliffs_delta,preferred_test,preferred_p,p_adjusted,significant,effect_below_noise,rate_bpp,power
psnr,AMDT,GA-FT,145,64.25593736108503,0.018968755474885454,64.15634690454769,0.3339771014133761,0.09959045653733663,0.06810790025475497,0.15888948684456758,3.5887828872325978,0.0004546266005400304,26.0,2.6151640668664936e-25,8.224447111335664e-26,False,0.29803219696112143,0.9639952437574316,Wilcoxon signed-rank,2.6151640668664936e-25,9.148004645771576e-25,True,True,0.05,0.9455
mse,AMDT,GA-FT,145,0.024405670166015626,0.00010655633778848386,0.025073215879242997,0.003131983513107191,-0.0006675457132273707,-0.0012084434772359914,-0.0003849154505236396,-2.566970890217482,0.011279290047843294,25.0,2.5551166312228437e-25,4.552626396932124e-26,False,-0.21317532934869282,-0.9639952437574316,Wilcoxon signed-rank,2.5551166312228437e-25,9.143100840380164e-25,True,True,0.05,0.7231
embedding_efficiency,AMDT,GA-FT,145,2.0487117946029065,0.008951680307666963,2.0195184190865443,0.05465739981307584,0.02919337551636197,0.01880829776850573,0.035534149114728936,6.294615890676332,3.501623007045696e-09,171.0,5.05412284110709e-24,3.2012007288470573e-24,False,0.5227393971361928,0.9502021403091557,Wilcoxon signed-rank,5.05412284110709e-24,1.010824568221418e-23,True,True,0.05,1.0
embedding_efficiency,AMDT,PVD,145,2.0487117946029065,0.008951680307666963,2.02548741002452,0.11550860318180954,0.02322438457838668,0.00345890354671291,0.04153395113946918,2.4189994097471703,0.0168112036137697,2806.0,9.210208959060059e-07,3.589947282582237e-13,False,0.20088696674836748,0.5631391200951249,Wilcoxon signed-rank,9.210208959060059e-07,9.210208959060059e-07,True,True,0.05,0.67505
ssim,AMDT,GA-FT,145,0.9996250490908747,0.00027240825171543585,0.9995624227707316,0.0005106686873443107,6.262632014322277e-05,2.149281310488638e-05,0.00011199607163199775,2.729704597126743,0.007130370126220632,4153.0,0.024504730875036015,7.594162485418609e-20,False,0.22668962812735033,0.05008323424494649,Wilcoxon signed-rank,0.024504730875036015,0.04900946175007203,True,True,0.1,0.7721
ssim,AMDT,LSB,145,0.9996250490908747,0.00027240825171543585,0.9995569139122448,0.0005207161865684287,6.813517863031457e-05,2.5905670777023746e-05,0.00011815257150271733,2.87510177229459,0.004652157963470766,3991.0,0.010202943183879936,5.481138085043635e-20,False,0.23876420630854242,0.05997621878715814,Wilcoxon signed-rank,0.010202943183879936,0.030608829551639807,True,True,0.1,0.8125
ssim,AMDT,LSB-M,145,0.9996250490908747,0.00027240825171543585,0.999640509376286,0.0001737321674389778,-1.5460285411040485e-05,-4.169273505015656e-05,6.179376756992539e-06,-1.2550773392241805,0.21148369915084134,4266.0,0.042756079846920654,4.319748148642675e-20,False,-0.10422849988942723,0.0458026159334126,Wilcoxon signed-rank,0.042756079846920654,0.04900946175007203,True,True,0.1,0.238
embedding_efficiency,AMDT,PVD,145,2.0395995389597537,0.006731946688927492,2.0284749465685663,0.10893205344236688,0.011124592391187581,-0.007120728308825736,0.02841205759731101,1.2253317817034022,0.22245063485616506,3243.0,5.226471181243692e-05,8.593614602231949e-13,False,0.10175826579159719,0.4273008323424495,Wilcoxon signed-rank,5.226471181243692e-05,5.226471181243692e-05,True,True,0.1,0.23095
ssim,AMDT,EA-LSB,145,0.9992175080154251,0.0007527602842763025,0.9998035793988469,0.0001737961087804238,-0.0005860713834219834,-0.0007031599408520729,-0.0004888001659770334,-10.797282742687417,2.80056230424114e-20,0.0,1.5246674409619294e-25,5.407167541735828e-21,False,-0.896665526482982,-0.8479904875148633,Wilcoxon signed-rank,1.5246674409619294e-25,1.3722006968657365e-24,True,True,0.2,1.0
ssim,AMDT,GA-FT,145,0.9992175080154251,0.0007527602842763025,0.9991145384623923,0.0009556358721173844,0.00010296955303264753,5.997560329343954e-05,0.00014985226605337328,4.504167771113308,1.3668607228182523e-05,3159.0,2.5417614640636592e-05,4.775198286212304e-11,False,0.37405077389385516,0.1127705112960761,Wilcoxon signed-rank,2.5417614640636592e-05,5.0835229281273184e-05,True,True,0.2,0.99315
ssim,AMDT,HILL,145,0.9992175080154251,0.0007527602842763025,0.9998952462705378,7.820393481685139e-05,-0.000677738255112668,-0.0008019980035202783,-0.0005738347651608716,-11.453898650818035,5.345734569974682e-22,0.0,1.5246674409619294e-25,1.362351495992057e-20,False,-0.9511945096532883,-0.9681331747919144,Wilcoxon signed-rank,1.5246674409619294e-25,1.3722006968657365e-24,True,True,0.2,1.0
ssim,AMDT,LSB,145,0.9992175080154251,0.0007527602842763025,0.9991094297161096,0.0009575167739942457,0.00010807829931524151,6.514608701870285e-05,0.00015419487022298714,4.701815213347027,5.9770433302378045e-06,3060.0,1.0507206395748194e-05,5.415041401333372e-11,False,0.3904645005760186,0.12275862068965518,Wilcoxon signed-rank,1.0507206395748194e-05,3.152161918724458e-05,True,True,0.2,0.9969
ssim,AMDT,LSB-M,145,0.9992175080154251,0.0007527602842763025,0.9992778116517224,0.000354872248090929,-6.0303636297381316e-05,-0.0001474709332589768,1.1743743137553334e-05,-1.440039437927133,0.15202678086839436,3397.0,0.00018307113333389428,5.404671983034128e-23,False,-0.11958876613096878,0.06758620689655172,Wilcoxon signed-rank,0.00018307113333389428,0.00018307113333389428,True,True,0.2,0.3014
ssim,AMDT,MiPOD-lite,145,0.9992175080154251,0.0007527602842763025,0.9999356632644082,5.8191396919678595e-05,-0.0007181552489832525,-0.0008479830352361136,-0.0006124518931511533,-11.975743166814755,2.2859663517889327e-23,0.0,1.5246674409619294e-25,2.2269290337730867e-20,False,-0.9945313378932789,-0.9880142687277051,Wilcoxon signed-rank,1.5246674409619294e-25,1.3722006968657365e-24,True,True,0.2,1.0
