payload_type,variant,seed,image,chi_square_p,rs_rate,ws_rate,payload_bias,payload_autocorr,payload_entropy
uniform,no_decomp,0,0,0.0,0.09595412391842244,0.11286056739840854,,,
uniform,full,0,0,0.0,0.09301680101704039,0.11237603462224129,,,
uniform,no_decomp,0,1,1.2394491671544712e-06,0.08378024462155906,0.08345207816144959,,,
uniform,full,0,1,1.1565451530159113e-05,0.0647235863213236,0.09476665165943318,,,
uniform,no_decomp,0,2,0.014855616163250793,0.2214938662386665,0.2173526584750901,,,
uniform,full,0,2,7.57375132778373e-12,0.15862897631141396,0.13849124978603786,,,
uniform,no_decomp,0,3,2.4945610473455665e-70,0.19654979558146657,0.16760299947523016,,,
uniform,full,0,3,1.0744124372330225e-74,0.18891058306889505,0.14396917873770862,,,
uniform,no_decomp,0,4,1.7951911830873719e-87,0.07411530898425686,0.10576733070515754,,,
uniform,full,0,4,4.786735809046713e-21,0.07425921882299161,0.09771356423392705,,,
uniform,no_decomp,0,5,1.3159026986330588e-63,0.08851319231976057,0.08354234493777168,,,
uniform,full,0,5,8.041690106763368e-72,0.06962616938150394,0.06494683300251372,,,
uniform,no_decomp,0,6,6.022283638389716e-62,0.20535884559873543,0.13091547439680895,,,
uniform,full,0,6,3.1892300903002836e-55,0.17217305030879443,0.14369813256311725,,,
uniform,no_decomp,0,7,0.8884147241423772,0.1386799351903168,0.1319745256560075,,,
uniform,full,0,7,0.8649002968554438,0.10255981368923094,0.13552384751151308,,,
uniform,no_decomp,0,8,2.081939398003194e-27,0.09066539253634574,0.12034613536071107,,,
uniform,full,0,8,1.5717881677558576e-23,0.07138992696604239,0.09105615886326475,,,
uniform,no_decomp,0,9,4.966533999188248e-13,0.1107000727367652,0.11032213595386905,,,
uniform,full,0,9,1.12599722491467e-15,0.08315036518487615,0.082553231900287,,,
uniform,no_decomp,0,10,0.0,0.40419450209719426,0.2531457566995243,,,
uniform,full,0,10,0.0,0.4384781261609518,0.2946736609770927,,,
uniform,no_decomp,0,11,0.0,0.08428986314124706,0.09379615692857475,,,
uniform,full,0,11,0.0,0.10630633442626182,0.11623539819790471,,,
uniform,no_decomp,0,12,0.0,0.08966775294803496,0.10040765014759369,,,
uniform,full,0,12,0.0,0.0841962985883224,0.09289504590124789,,,
uniform,no_decomp,0,13,6.507081964071074e-14,0.0780062424028567,0.07133625632642825,,,
uniform,full,0,13,3.413475659280173e-10,0.07732623556111162,0.07822314696094455,,,
uniform,no_decomp,0,14,1.2747882551004371e-23,0.09351821501552504,0.10703818629632865,,,
uniform,full,0,14,1.1891297346002108e-23,0.06906245661467632,0.08365639644373973,,,
uniform,no_decomp,0,15,4.3529062646835294e-14,0.04520514330190939,0.05214215685352346,,,
uniform,full,0,15,8.041240875805053e-15,0.06394557668289032,0.05910286877651315,,,
uniform,no_decomp,0,16,1.4492193476936205e-06,0.11158479309437196,0.09390338238454377,,,
uniform,full,0,16,4.969213541351323e-07,0.11338329223564964,0.09876646073609036,,,
uniform,no_decomp,0,17,0.6266915620881551,0.08851057466828229,0.09788622361227486,,,
uniform,full,0,17,0.18466072101561318,0.1176168863002912,0.10197818776504816,,,
uniform,no_decomp,0,18,0.9487219116840493,0.15130973678260948,0.1426805643154244,,,
uniform,full,0,18,0.7312842253317561,0.1265863899389127,0.1051678264496795,,,
uniform,no_decomp,0,19,0.0,0.11514830018086047,0.10878112525704313,,,
uniform,full,0,19,1.4494527433224324e-292,0.10433810384241912,0.1050744414700131,,,
uniform,no_decomp,0,20,0.0,0.5245518839861483,0.29798823279733044,,,
uniform,full,0,20,0.0,0.4991006742684122,0.2669146337755329,,,
uniform,no_decomp,0,21,1.5662844919248753e-23,0.10912533668681207,0.09652933391255945,,,
uniform,full,0,21,8.831899771497708e-31,0.11821741500589386,0.10536691001505853,,,
uniform,no_decomp,0,22,0.0,0.12909159971349635,0.11557579483183467,,,
uniform,full,0,22,0.0,0.12736513233074817,0.10426636122205399,,,
uniform,no_decomp,0,23,6.986522651277245e-18,0.10917832257284651,0.11817564727219668,,,
