method,rate_bpp,seed,image,image_name,requested_bits,embedded_bits,capacity_limited,blind_extractable,extraction_ok,mse,psnr,ssim,correlation,payload_bits,n_changes,change_rate,embedding_efficiency,bits_per_pixel,bits_per_unit_distortion,fused_measure_1,fused_measure_2,ga_evaluations,ga_generations,ga_wall_time_s,ga_converged_at
AMDT,0.1,0,0,1.pgm,26214,26214,False,True,True,0.049068450927734375,61.22278013181599,0.9997482534844898,0.9999951054924238,26214,12863,0.049068450927734375,2.0379382725647206,0.09999847412109375,534233.2905232061,0.9997433602090888,20.374463454765714,2378.0,100.0,7.126471249968745,80.0
LSB,0.1,0,0,1.pgm,26214,26214,False,True,,0.049839019775390625,61.155108687562276,0.9996153966060358,0.9999956414326965,26214,13065,0.049839019775390625,2.0064293915040183,0.09999847412109375,525973.4264064294,0.999611039715052,20.056795743977236,,,,
LSB-M,0.1,0,0,1.pgm,26214,26214,False,True,,0.0496673583984375,61.170092985873985,0.9995945053564458,0.9999950545262558,26214,13020,0.0496673583984375,2.0133640552995393,0.09999847412109375,527791.3069124424,0.9995895618880647,20.125684033147838,,,,
EA-LSB,0.1,0,0,1.pgm,26214,26214,False,True,,0.049652099609375,61.1714274289077,0.9999537611585733,0.9999949904757662,26214,13016,0.049652099609375,2.013982790411801,0.09999847412109375,527953.5046097111,0.9999487518659741,20.13910307384403,,,,
PVD,0.1,0,0,1.pgm,26214,26214,False,True,,0.3369598388671875,52.855022190403076,0.9987120211800399,0.9999660341835201,26214,13044,0.0497589111328125,2.0096596136154554,0.09999847412109375,77795.62124711316,0.9986780991108123,2.9637896981083274,,,,
GA-FT,0.1,0,0,1.pgm,26214,26214,False,True,True,0.0499114990234375,61.14879747366628,0.9996141213054882,0.9999956309870629,26214,13084,0.0499114990234375,2.0035157444206666,0.09999847412109375,525209.6313054112,0.9996097539784601,20.027644401324476,389.0,26.0,1.0166048750979826,1.0
WOW,0.1,0,0,1.pgm,26214,26214,False,False,,0.017913818359375,65.59892194580014,0.9999781179632236,0.999998192556554,26214,4696,0.017913818359375,5.5821976149914825,0.09999847412109375,1463339.6115843272,0.9999763105593281,55.82150552710062,,,,
S-UNIWARD,0.1,0,0,1.pgm,26214,26214,False,False,,0.0153656005859375,66.26530820937991,0.9999729229252169,0.9999984496691207,26214,4028,0.0153656005859375,6.507944389275075,0.09999847412109375,1706018.5739821251,0.999971372636316,65.07857386007309,,,,
HILL,0.1,0,0,1.pgm,26214,26214,False,False,,0.01715087890625,65.78793980258567,0.9999735703325254,0.9999982695345975,26214,4496,0.01715087890625,5.830516014234876,0.09999847412109375,1528434.7900355873,0.9999718399128585,58.30440791862019,,,,
MiPOD-lite,0.1,0,0,1.pgm,26214,26214,False,False,,0.0238189697265625,64.36157388429191,0.9999802778050865,0.9999975979803069,26214,6244,0.0238189697265625,4.198270339525945,0.09999847412109375,1100551.3798846893,0.9999778758327664,41.98241516372593,,,,
AMDT,0.1,0,1,10.pgm,26214,26214,False,True,True,0.049160003662109375,61.21468454301301,0.9996931187087874,0.9999944165898651,26214,12887,0.049160003662109375,2.0341429347404363,0.09999847412109375,533238.3654845969,0.9996875370120967,20.335383696942582,1560.0,65.0,5.022539666038938,40.0
LSB,0.1,0,1,10.pgm,26214,26214,False,True,,0.050472259521484375,61.10027613381165,0.9995768904823616,0.9999942676368296,26214,13231,0.050472259521484375,1.9812561408812637,0.09999847412109375,519374.409795178,0.9995711605446087,19.804367191429666,,,,
LSB-M,0.1,0,1,10.pgm,26214,26214,False,True,,0.05048370361328125,61.09929152511995,0.9997332275728104,0.9999942663427402,26214,13234,0.05048370361328125,1.980807012241197,0.09999847412109375,519256.6734169563,0.9997274954451323,19.802974502491217,,,,
EA-LSB,0.1,0,1,10.pgm,26214,26214,False,True,,0.050212860107421875,61.122654015231454,0.9999623391096857,0.9999942971135677,26214,13163,0.050212860107421875,1.9914913013750666,0.09999847412109375,522057.49570766545,0.9999566364380291,19.914353301102388,,,,
PVD,0.1,0,1,10.pgm,26214,26214,False,True,,0.33526611328125,52.87690701142288,0.9983386101837903,0.9999619516224232,26214,12946,0.04938507080078125,2.0248725475050207,0.09999847412109375,78188.63571818678,0.9983006250194005,2.977636526546124,,,,
GA-FT,0.1,0,1,10.pgm,26214,26214,False,True,True,0.049716949462890625,61.16575887561159,0.9995820230468038,0.9999943533908414,26214,13033,0.049716949462890625,2.0113557891506177,0.09999847412109375,527264.8519910995,0.9995763787977977,20.10534414513695,423.0,27.0,1.1184988330351189,2.0
WOW,0.1,0,1,10.pgm,26214,26214,False,False,,0.016345977783203125,65.99669456560355,0.999978062104873,0.9999981434865446,26214,4285,0.016345977783203125,6.117619603267211,0.09999847412109375,1603697.2732788797,0.9999762056321455,61.175673850462815,,,,
