method,rate_bpp,detector,n_folds,oob_error,accuracy_ci_low,accuracy_ci_high,accuracy,precision,recall,f1,auc,p_e,p_e_threshold,md_at_fa5,n_cover,n_stego,threshold
AMDT,0.1,srm_subset+FLD-ensemble,5,0.12999999999999998,0.8625,0.8910125,0.877,0.8792756539235412,0.874,0.876629889669007,0.9453239999999999,0.1225,0.01589163833877812,0.279,1000,1000,0.0
EA-LSB,0.1,srm_subset+FLD-ensemble,5,0.334625,0.655,0.6960124999999999,0.676,0.6715399610136452,0.689,0.680157946692991,0.7308709999999999,0.3215,-0.012993626655495704,0.767,1000,1000,0.0
GA-FT,0.1,srm_subset+FLD-ensemble,5,0.09937499999999999,0.8875,0.9135,0.9005,0.9348534201954397,0.861,0.8964081207704321,0.963044,0.0925,-0.10864114861324918,0.15400000000000003,1000,1000,0.0
HILL,0.1,srm_subset+FLD-ensemble,5,0.47462499999999996,0.5044875,0.5475125,0.526,0.526369168356998,0.519,0.5226586102719033,0.534157,0.469,0.0317604315792216,0.926,1000,1000,0.0
LSB,0.1,srm_subset+FLD-ensemble,5,0.0945,0.889,0.9155,0.9025,0.9351351351351351,0.865,0.8987012987012988,0.964793,0.0925,-0.1365647617878328,0.15400000000000003,1000,1000,0.0
LSB-M,0.1,srm_subset+FLD-ensemble,5,0.159375,0.829,0.8605,0.845,0.8279467680608364,0.871,0.8489278752436645,0.934292,0.14949999999999997,-0.08189509224505372,0.32299999999999995,1000,1000,0.0
MiPOD-lite,0.1,srm_subset+FLD-ensemble,5,0.39237500000000003,0.5865,0.6295,0.608,0.6067193675889329,0.614,0.6103379721669979,0.6493610000000001,0.388,0.028397697633852744,0.881,1000,1000,0.0
PVD,0.1,srm_subset+FLD-ensemble,5,0.035375000000000004,0.9625,0.978,0.9705,0.9786368260427264,0.962,0.9702471003530007,0.9929840000000002,0.025500000000000016,-0.22339773335939592,0.02100000000000002,1000,1000,0.0
S-UNIWARD,0.1,srm_subset+FLD-ensemble,5,0.45687500000000003,0.5159875,0.559,0.537,0.537,0.537,0.537,0.558562,0.455,-0.0966284356049669,0.914,1000,1000,0.0
WOW,0.1,srm_subset+FLD-ensemble,5,0.4625,0.5125,0.557,0.535,0.5345849802371542,0.541,0.5377733598409543,0.546865,0.4615,0.04778327173575207,0.938,1000,1000,0.0
AMDT,0.4,srm_subset+FLD-ensemble,5,0.0165,0.977,0.9885,0.983,0.9791666666666666,0.987,0.9830677290836654,0.99809,0.015000000000000006,0.23370521663662783,0.0010000000000000009,1000,1000,0.0
EA-LSB,0.4,srm_subset+FLD-ensemble,5,0.09662499999999999,0.8935,0.92,0.907,0.9005905511811023,0.915,0.9077380952380952,0.966234,0.08999999999999998,0.06296791346297957,0.16200000000000003,1000,1000,0.0
GA-FT,0.4,srm_subset+FLD-ensemble,5,0.023500000000000004,0.967,0.9815,0.9745,0.9846782431052093,0.964,0.9742294087923192,0.997637,0.024500000000000008,-0.8036547350689623,0.013000000000000012,1000,1000,0.0
HILL,0.4,srm_subset+FLD-ensemble,5,0.327,0.6514875,0.693,0.672,0.6713147410358565,0.674,0.6726546906187625,0.7343759999999999,0.323,-0.038198961505702386,0.788,1000,1000,0.0
LSB,0.4,srm_subset+FLD-ensemble,5,0.021750000000000002,0.9715,0.9845,0.978,0.9897540983606558,0.966,0.9777327935222672,0.998032,0.01900000000000001,-0.4778752914205476,0.008000000000000007,1000,1000,0.0
LSB-M,0.4,srm_subset+FLD-ensemble,5,0.043625,0.949,0.966,0.958,0.9455252918287937,0.972,0.9585798816568047,0.991348,0.03900000000000002,0.25907085340976743,0.031000000000000028,1000,1000,0.0
MiPOD-lite,0.4,srm_subset+FLD-ensemble,5,0.202875,0.7799875000000001,0.815,0.797,0.7964071856287425,0.798,0.7972027972027972,0.877916,0.193,0.08665919941198426,0.52,1000,1000,0.0
PVD,0.4,srm_subset+FLD-ensemble,5,0.0027500000000000003,0.9945,0.999,0.997,0.997,0.997,0.997,0.9989380000000003,0.003000000000000001,-1.9886829376155712,0.0020000000000000018,1000,1000,0.0
S-UNIWARD,0.4,srm_subset+FLD-ensemble,5,0.28325,0.6975,0.738,0.718,0.7104247104247104,0.736,0.7229862475442043,0.8008959999999999,0.27349999999999997,-0.028557407527656266,0.6599999999999999,1000,1000,0.0
WOW,0.4,srm_subset+FLD-ensemble,5,0.319125,0.664,0.7055,0.684,0.6866125760649088,0.677,0.6817724068479356,0.743534,0.31399999999999995,0.01597257595253574,0.733,1000,1000,0.0
